Estación,viento_promedio,ICAO
la quiaca obs.,7.116666666666666,
orán aero,7.958333333333332,
tartagal aero,6.208333333333333,SAST                                                                                                    
jujuy aero,8.825000000000001,SASJ                                                                                                                                                                                                     
salta aero,7.083333333333333,SASA                                                                                                    
las lomitas,7.258333333333334,SATK                                                                                                    
iguazú aero,6.8999999999999995,
tucumán aero,10.883333333333333,
santiago del estero aero,9.091666666666667,SANE                                                                                                    
resistencia aero,11.200000000000001,
formosa aero,12.883333333333335,SARF                                                                                                    
corrientes aero,13.133333333333333,SARC                                                                                                    
posadas aero,9.700000000000001,SARP                                                                                                    
tinogasta,5.466666666666666,SANI                                                                                                    
catamarca aero,16.941666666666666,SANC                                                                                                    
villa maría del río seco,6.458333333333332,
ceres aero,11.941666666666665,SANW                                                                                                    
reconquista aero,12.591666666666669,SATR                                                                                                    
san juan aero,12.741666666666665,SANU                                                                                                    
chamical aero,9.924999999999999,SACT                                                                                                    
villa dolores aero,6.199999999999999,SAOD                                                                                                    
córdoba aero,12.875,
sauce viejo aero,11.233333333333334,SAAV                                                                                                    
paraná aero,11.325000000000003,
concordia aero,9.3,SAAC                                                                                                    
san martín (mza),6.266666666666667,
mendoza aero,6.5249999999999995,SAME                                                                                                    
mendoza observatorio,4.158333333333334,SAMK                                                                                                    
san luis aero,17.158333333333335,SAOU                                                                                                    
villa reynolds aero,11.383333333333333,SAOR                                                                                                    
río cuarto aero,15.650000000000004,
marcos juárez aero,10.541666666666668,
rosario aero,11.441666666666665,SAAR                                                                                                    
gualeguaychú aero,9.541666666666666,
malargüe aero,8.75,
general pico aero,12.241666666666667,SAZG                                                                                                    
laboulaye aero,10.608333333333333,SAOL                                                                                                    
pehuajó aero,12.041666666666666,
junín aero,12.100000000000001,
nueve de julio,9.708333333333334,SAZX                                                                                                    
san miguel,7.625,
el palomar aero,10.616666666666665,SADP                                                                                                    
ezeiza aero,12.316666666666668,SAEZ                                                                                                    
aeroparque aero,15.891666666666666,SABE                                                                                                    
buenos aires,9.216666666666667,
la plata aero,12.608333333333333,SADL                                                                                                    
punta indio b.a.,16.65,SAAI                                                                                                    
tandil aero,13.316666666666668,SAZT                                                                                                    
dolores aero,9.608333333333333,SAZD                                                                                                    
pigüé aero,11.141666666666667,
tres arroyos,13.875,SAZH                                                                                                    
mar del plata aero,14.116666666666665,SAZM                                                                                                    
neuquén aero,10.866666666666667,
bariloche aero,19.866666666666667,SAZS                                                                                                    
maquinchao,9.433333333333334,SAVQ                                                                                                    
esquel aero,18.408333333333335,SAVE                                                                                                    
trelew aero,20.458333333333332,SAVT                                                                                                    
comodoro rivadavia aero,22.05,SAVC                                                                                                    
san julián aero,27.425,
río gallegos aero,22.766666666666666,
río grande b.a.,23.916666666666668,
base esperanza,26.25,SAYE                                                                                                    
base orcadas,24.0,SAYO                                                                                                    
base marambio,30.099999999999998,SAWB                                                                                                    
base san martín,18.650000000000002,
